epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7337,3.21112,5.1722,2.81444,0,0,0,0,1.40936,4.85316,1.31959,2.08e-05,2.08e-05,2.08e-05
2,92.2044,3.11587,5.16611,2.71986,0,0,0,0,1.44286,4.85217,1.33817,4.34638e-05,4.34638e-05,4.34638e-05
3,138.014,2.97736,5.13991,2.60183,0,0,0,0,1.52166,4.8599,1.37903,6.59011e-05,6.59011e-05,6.59011e-05
4,183.553,2.9101,5.10542,2.48614,0,0,0,0,1.68002,4.85354,1.43859,8.81118e-05,8.81118e-05,8.81118e-05
5,229.378,2.75319,5.04375,2.31969,0,0,0,0,1.88319,4.8535,1.52552,0.000110096,0.000110096,0.000110096
6,275.486,2.62465,4.92941,2.19724,0,0,0,0,1.9343,4.84288,1.5852,0.000131854,0.000131854,0.000131854
7,320.742,2.62124,4.88615,2.16101,0.00044,0.00095,0.00023,9e-05,1.87967,4.8065,1.58552,0.000153385,0.000153385,0.000153385
8,366.493,2.55975,4.76882,2.09843,0.03462,0.03436,0.02263,0.01489,1.88148,4.71655,1.60894,0.00017469,0.00017469,0.00017469
9,411.723,2.51596,4.6739,2.05961,0.02207,0.08415,0.02152,0.013,1.88288,4.64568,1.61381,0.000195768,0.000195768,0.000195768
10,457.122,2.49387,4.56778,2.02268,0.01816,0.14123,0.02517,0.01264,1.90635,4.55292,1.64118,0.000198734,0.000198734,0.000198734
11,503.111,2.45906,4.4779,2.00299,0.01719,0.19629,0.02911,0.0136,1.91475,4.51165,1.66332,0.000197704,0.000197704,0.000197704
12,548.129,2.43151,4.36485,1.99615,0.01575,0.21577,0.02921,0.01363,1.90818,4.43701,1.6712,0.000196674,0.000196674,0.000196674
13,625.809,2.42451,4.24777,1.94482,0.01645,0.23282,0.02902,0.01397,1.90275,4.3847,1.6692,0.000195645,0.000195645,0.000195645
14,740.317,2.40996,4.15519,1.89717,0.01635,0.23038,0.02488,0.01253,1.90319,4.40631,1.66742,0.000194615,0.000194615,0.000194615
15,849.793,2.37101,4.04897,1.94993,0.01637,0.23607,0.02559,0.01294,1.9311,4.42667,1.67706,0.000193586,0.000193586,0.000193586
16,954.013,2.31042,4.02156,1.93014,0.17914,0.13772,0.02824,0.01457,1.98795,4.33412,1.65573,0.000192556,0.000192556,0.000192556
17,1019.49,2.31535,3.86271,1.9113,0.37505,0.07509,0.03172,0.01642,2.0106,4.29545,1.6456,0.000191526,0.000191526,0.000191526
18,1065.66,2.31876,3.81615,1.91303,0.44752,0.07761,0.03875,0.01892,1.92823,4.26507,1.61918,0.000190497,0.000190497,0.000190497
19,1111.82,2.30727,3.73191,1.89893,0.37511,0.08284,0.03944,0.02073,1.93527,4.25139,1.61998,0.000189467,0.000189467,0.000189467
20,1260.71,2.28042,3.64268,1.88491,0.40132,0.09636,0.04061,0.02166,1.92857,4.21648,1.61549,0.000188438,0.000188438,0.000188438
21,1678.56,2.30446,3.54169,1.85355,0.42221,0.10609,0.04341,0.02336,1.9114,4.21829,1.59856,0.000187408,0.000187408,0.000187408
22,1737.92,2.28949,3.48153,1.84435,0.40589,0.10964,0.04962,0.02625,1.84669,4.14214,1.59213,0.000186378,0.000186378,0.000186378
23,1787.07,2.22727,3.39703,1.8328,0.42679,0.11098,0.05745,0.0286,1.85217,4.14183,1.61923,0.000185349,0.000185349,0.000185349
